IP:PORT,城市,By
172.64.229.118:443,Tokyo,Ken
162.159.9.37:443,Singapore,Ken
162.159.23.95:443,Singapore,Ken
104.18.34.171:443,Singapore,Ken
162.159.27.24:443,Singapore,Ken
172.64.50.108:443,Singapore,Ken
172.64.144.43:443,Singapore,Ken
198.41.223.86:443,Singapore,Ken
104.18.32.199:443,Singapore,Ken
162.159.3.24:443,Singapore,Ken
162.159.8.157:443,Singapore,Ken
162.159.49.62:443,Singapore,Ken
172.64.156.207:443,Singapore,Ken
108.162.193.252:443,Singapore,Ken
162.159.4.29:443,Singapore,Ken
162.159.10.128:443,Singapore,Ken
162.159.24.160:443,Singapore,Ken
162.159.33.47:443,Singapore,Ken
172.64.146.37:443,Singapore,Ken
172.64.151.243:443,Singapore,Ken
